Connecting to DB
DB connection successful
Starting step: Vendor Master Export
Loaded SQL from SQL\vendor_master.sql
Estimated total rows: 2,232,017
Elapsed time: 00:05 | Rows collected: 10,000 / 2,232,017 | ETA: 21:39
Elapsed time: 00:06 | Rows collected: 20,000 / 2,232,017 | ETA: 11:17
Elapsed time: 00:06 | Rows collected: 30,000 / 2,232,017 | ETA: 07:49
Elapsed time: 00:06 | Rows collected: 40,000 / 2,232,017 | ETA: 06:05
Elapsed time: 00:06 | Rows collected: 50,000 / 2,232,017 | ETA: 05:03
Elapsed time: 00:07 | Rows collected: 60,000 / 2,232,017 | ETA: 04:21
Elapsed time: 00:07 | Rows collected: 70,000 / 2,232,017 | ETA: 03:53
Elapsed time: 00:07 | Rows collected: 80,000 / 2,232,017 | ETA: 03:32
Elapsed time: 00:08 | Rows collected: 90,000 / 2,232,017 | ETA: 03:15
Elapsed time: 00:08 | Rows collected: 100,000 / 2,232,017 | ETA: 03:00
Elapsed time: 00:08 | Rows collected: 110,000 / 2,232,017 | ETA: 02:49
Elapsed time: 00:09 | Rows collected: 120,000 / 2,232,017 | ETA: 02:39
Elapsed time: 00:09 | Rows collected: 130,000 / 2,232,017 | ETA: 02:31
Elapsed time: 00:09 | Rows collected: 140,000 / 2,232,017 | ETA: 02:24
Elapsed time: 00:09 | Rows collected: 150,000 / 2,232,017 | ETA: 02:18
Elapsed time: 00:10 | Rows collected: 160,000 / 2,232,017 | ETA: 02:12
Elapsed time: 00:10 | Rows collected: 170,000 / 2,232,017 | ETA: 02:08
Elapsed time: 00:10 | Rows collected: 180,000 / 2,232,017 | ETA: 02:04
Elapsed time: 00:11 | Rows collected: 190,000 / 2,232,017 | ETA: 02:00
Elapsed time: 00:11 | Rows collected: 200,000 / 2,232,017 | ETA: 01:56
Elapsed time: 00:11 | Rows collected: 210,000 / 2,232,017 | ETA: 01:52
Elapsed time: 00:12 | Rows collected: 220,000 / 2,232,017 | ETA: 01:49
Elapsed time: 00:12 | Rows collected: 230,000 / 2,232,017 | ETA: 01:47
Elapsed time: 00:12 | Rows collected: 240,000 / 2,232,017 | ETA: 01:44
